Component  Temperature  A  B  C  D  E  F  G  H
MgO melt 3105K-5000K 6.69440e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -5.80994e+02 9.37471e+01 -5.32611e+02
SiO2 melt 1996K-4500K 8.57720e+01 -1.60000e-05 4.00000e-06 -3.80908e-07 -1.70000e-05 -9.52870e+02 1.13344e+02 -9.02661e+02
MgSiO3 melt 1850K-3000K 1.46440e+02 -1.49993e-07 6.22014e-08 -8.73322e-09 -3.14417e-08 -1.56331e+03 2.20668e+02 -1.49486e+03
FeO melt 1650K-5000K 6.81992e+01 -4.50123e-10 1.19523e-10 -1.06430e-11 -3.09268e-10 -2.81433e+02 1.37838e+02 -2.49532e+02
Na2O melt 1405K-3000K 1.04600e+02 9.90913e-10 -6.02207e-10 1.11306e-10 2.36283e-11 -4.04030e+02 2.18190e+02 -3.72843e+02
Na2SiO3 melt 1362K-2500K 1.77318e+02 4.15200e-10 -5.33063e-10 1.36992e-10 -2.59304e-10 -1.58355e+03 3.23525e+02 -1.51088e+03
Fe metal 1809K-3133K 4.60240e+01 -1.88467e-08 6.09475e-09 -6.64030e-10 -8.24612e-09 -1.08054e+01 7.25409e+01 1.23960e+01
Si metal 1685K-3505K 2.71960e+01 -1.19831e-10 5.35326e-11 -6.95661e-12 -4.29438e-12 4.03616e+01 7.73718e+01 4.84700e+01
H2 gas 2500K-6000K 4.34136e+01 -4.29308e+00 1.27243e+00 -9.68760e-02 -2.05339e+01 -3.85152e+01 1.62081e+02 0.00000e+00
H2 gas 1000K-2500K 1.85631e+01 1.22574e+01 -2.85979e+00 2.68238e-01 1.97799e+00 -1.14744e+00 1.56288e+02 0.00000e+00
H2 gas 298K-1000K 3.30662e+01 -1.13634e+01 1.14328e+01 -2.77287e+00 -1.58558e-01 -9.98080e+00 1.72708e+02 0.00000e+00
H2O gas 500K-1700K 3.00920e+01 6.83251e+00 6.79343e+00 -2.53448e+00 8.21390e-02 -2.50881e+02 2.23397e+02 -2.41826e+02
H2O gas 1700K-6000K 4.19643e+01 8.62205e+00 -1.49978e+00 9.81190e-02 -1.11576e+01 -2.72180e+02 2.19781e+02 -2.41826e+02
CO2 gas 298K-1200K 2.49974e+01 5.51870e+01 -3.36914e+01 7.94839e+00 -1.36638e-01 -4.03608e+02 2.28243e+02 -3.93522e+02
CO2 gas 1200K-6000K 5.81664e+01 2.72007e+00 -4.92289e-01 3.88440e-02 -6.44729e+00 -4.25919e+02 2.63613e+02 -3.93522e+02
O2 gas 2000K-6000K 2.09111e+01 -1.07207e+01 -2.02050e+00 1.46449e-01 9.24572e+00 5.33765e+00 2.37619e+02 0.00000e+00
O2 gas 700K-2000K 3.00324e+01 8.77297e+00 -3.98813e+00 7.88313e-01 -7.41599e-01 -1.13247e+01 2.36166e+02 0.00000e+00
O2 gas 100K-700K 3.13223e+01 -2.02353e+01 5.78664e+01 -3.65062e+01 -7.37400e-03 -8.90347e+00 2.46794e+02 0.00000e+00
CO gas 298K-1300K 2.55676e+01 6.09613e+00 4.05466e+00 -2.67130e+00 1.31021e-01 -1.18009e+02 2.27367e+02 -1.10527e+02
CO gas 1300K-6000K 3.51507e+01 1.30010e+00 -2.05921e-01 1.35500e-02 -3.28278e+00 -1.27838e+02 2.31712e+02 0.00000e+00
SiO gas 298K-1100K 1.95241e+01 3.74637e+01 -3.05180e+01 9.09405e+00 1.48934e-01 -1.07151e+02 2.26151e+02 -1.00416e+02
SiO gas 1100K-6000K 3.56989e+01 1.73125e+00 -5.09348e-01 5.94040e-02 -1.24805e+00 -1.14602e+02 2.49191e+02 -1.00416e+02
Fe gas 3133.345K-6000K 1.12925e+01 6.98971e+00 -1.11031e+00 1.22354e-01 5.68928e+00 4.23538e+02 2.06359e+02 4.15472e+02
Mg gas 1366.104K-2200K 2.07731e+01 3.55920e-02 -3.19170e-02 9.10900e-03 4.61000e-04 1.40907e+02 1.73780e+02 1.47100e+02
Mg gas 2200K-6000K 4.76085e+01 -1.54087e+01 2.87596e+00 -1.20806e-01 -2.70176e+01 9.74002e+01 1.77231e+02 1.47100e+02
Na gas 1170K-6000K 2.08057e+01 2.77206e-01 -3.92086e-01 1.19634e-01 -8.87900e-03 1.01039e+02 1.78709e+02 1.07300e+02
CH4 gas 298K-1300K -7.03029e-01 1.08477e+02 -4.25216e+01 5.86279e+00 6.78565e-01 -7.68438e+01 1.58716e+02 -7.48731e+01
CH4 gas 1300K-6000K 8.58122e+01 1.12647e+01 -2.11415e+00 1.38190e-01 -2.64222e+01 -1.53533e+02 2.24414e+02 -7.48731e+01
SiH4 gas 298K-1300K 6.06019e+00 1.39963e+02 -7.78847e+01 1.62410e+01 1.35509e-01 2.73908e+01 1.74335e+02 3.43090e+01
SiH4 gas 1300K-6000K 9.98495e+01 4.25153e+00 -8.09269e-01 5.34370e-02 -2.03900e+01 -4.05402e+01 2.66801e+02 3.43090e+01
